production_countries,release_date,revenue,revenue_new,Total,Music,Romance,War,Adventure,Animation,Drama,Horror,Action,Comedy,Western,Thriller,Science Fiction,Mystery,Documentary
United States,1931,1012.189,1012189000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1940,11000,11000000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,1945,23080.386,23080386000,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
United States,1948,9012,9012000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States,1950,5063.463,5063463000,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
United States,1951,1300,1300000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Japan,1952,55.24,55240000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1953,36000,36000000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1954,1300,1300000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States,1955,0.005,5000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
India,1955,536.364,536364000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1956,14400,14400000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1957,11750,11750000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States,1959,5800,5800000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States,1960,15305,15305000000,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
United States,1961,7600,7600000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1962,3100,3100000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1963,11403.529,11403529000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United Kingdom,1966,364.937,364937000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1968,47027.234,47027234000,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
United States,1971,11000,11000000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United Kingdom,1973,544.476,544476000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1975,8022,8022000000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States,1976,117000,1.17E+11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1977,25000,25000000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spain,1978,1622.164,1622164000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United Kingdom,1978,14560.084,14560084000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
United States,1978,155000,1.55E+11,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
United Kingdom,1979,20045.115,20045115000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,1979,306000,3.06E+11,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Sweden,1980,5010.362,5010362000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,1980,235000,2.35E+11,5,0,0,0,0,0,1,1,0,2,0,0,1,0,0
United Kingdom,1981,17374.595,17374595000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United States,1981,140000,1.4E+11,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Spain,1982,646.714,646714000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1982,297000,2.97E+11,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Spain,1983,1334.173,1334173000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,1983,3661.757,3661757000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1983,18271.606,18271606000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Spain,1984,930.349,930349000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1984,21000,21000000000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
United States,1985,190000,1.9E+11,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0
United States,1986,206000,2.06E+11,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0
Canada,1987,2683.519,2683519000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1987,219000,2.19E+11,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0
United States,1988,281000,2.81E+11,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0
United States,1989,353000,3.53E+11,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0
United States,1990,150000,1.5E+11,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0
France,1991,138,138000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,1991,524.668,524668000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spain,1991,3370.574,3370574000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,1991,403000,4.03E+11,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
United States,1992,487000,4.87E+11,9,0,0,0,0,0,5,1,0,3,0,0,0,0,0
United Kingdom,1993,1718.328,1718328000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1993,230000,2.3E+11,6,0,0,0,0,0,4,0,0,1,0,0,1,0,0
United States,1994,48846.482,48846482000,6,0,0,0,0,1,1,0,0,3,0,0,0,0,1
United States,1995,771000,7.71E+11,9,0,0,0,0,0,1,0,0,6,0,0,1,0,1
Germany,1996,65.335,65335000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
India,1996,500,500000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United States,1996,361000,3.61E+11,6,0,0,0,0,0,2,0,0,4,0,0,0,0,0
France,1997,29456,29456000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,1997,74796.22,74796220000,5,0,0,0,0,0,2,0,0,2,0,0,0,0,1
Canada,1998,229,229000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australia,1998,378.667,378667000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brazil,1998,5596.708,5596708000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1998,115000,1.15E+11,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0
Spain,1999,6000,6000000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,1999,648000,6.48E+11,8,0,0,0,0,0,5,0,0,2,0,0,0,0,1
Hungary,2000,25.461,25461000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,2000,830000,8.3E+11,7,0,0,0,0,0,3,0,0,3,0,0,0,0,1
Australia,2001,0.671,671000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
